src_ip,dst_ip,protocol,packet_size,timestamp,packet_count,connection_duration,syn_ack_ratio
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863356,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863392,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863392,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863427,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863428,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863464,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863464,40,1427.275448,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863498,76,1614.262326,0.3
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863499,40,1427.275448,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741863536,373,1625.965925,
172.20.144.1,224.0.0.251,17,96,1970-01-01 00:00:01.741863536,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863536,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,393,1970-01-01 00:00:01.741863536,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863571,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,184,1970-01-01 00:00:01.741863571,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1970-01-01 00:00:01.741863571,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1970-01-01 00:00:01.741863573,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1970-01-01 00:00:01.741863574,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741863574,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1970-01-01 00:00:01.741863574,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741863575,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1970-01-01 00:00:01.741863576,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741863577,373,1625.965925,
172.20.154.248,49.44.116.238,6,74,1970-01-01 00:00:01.741863578,76,1614.262326,0.3
49.44.116.238,172.20.154.248,6,74,1970-01-01 00:00:01.741863578,4,627.684664,
172.20.154.248,49.44.116.238,6,66,1970-01-01 00:00:01.741863578,76,1614.262326,0.3
49.44.116.238,172.20.154.248,6,66,1970-01-01 00:00:01.741863579,4,627.684664,
172.20.154.248,49.44.116.238,6,66,1970-01-01 00:00:01.741863579,76,1614.262326,0.3
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741863579,373,1625.965925,
172.20.144.1,224.0.0.251,17,184,1970-01-01 00:00:01.741863581,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1970-01-01 00:00:01.741863581,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863581,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741863581,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1970-01-01 00:00:01.741863581,373,1625.965925,
172.20.144.1,224.0.0.251,17,160,1970-01-01 00:00:01.741863581,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741863582,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863582,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1970-01-01 00:00:01.741863582,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741863582,373,1625.965925,
172.20.144.1,224.0.0.251,17,261,1970-01-01 00:00:01.741863582,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741863582,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863583,373,1625.965925,
172.20.144.1,224.0.0.251,17,168,1970-01-01 00:00:01.741863583,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741863583,373,1625.965925,
172.20.154.248,185.125.190.57,17,90,1970-01-01 00:00:01.741863584,76,1614.262326,0.3
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863584,373,1625.965925,
185.125.190.57,172.20.154.248,17,90,1970-01-01 00:00:01.741863584,40,1427.275448,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741863592,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741863592,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1970-01-01 00:00:01.741863592,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863592,373,1625.965925,
172.20.144.1,224.0.0.251,17,112,1970-01-01 00:00:01.741863593,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741863593,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863593,373,1625.965925,
172.20.144.1,239.255.255.250,17,169,1970-01-01 00:00:01.741863594,373,1625.965925,
172.20.144.1,239.255.255.250,17,179,1970-01-01 00:00:01.741863594,373,1625.965925,
172.20.144.1,224.0.0.251,17,82,1970-01-01 00:00:01.741863594,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863594,373,1625.965925,
172.20.144.1,239.255.255.250,17,143,1970-01-01 00:00:01.741863595,373,1625.965925,
172.20.144.1,239.255.255.250,17,698,1970-01-01 00:00:01.741863595,373,1625.965925,
172.20.144.1,224.0.0.251,17,325,1970-01-01 00:00:01.741863596,373,1625.965925,
